x,y,dow
318930.75,6697940.5,2.0974064517154223
394430.6666666666,7319623.0,3.7500000000000004
367662.71428571426,7151743.857142856,7.0810988747350825
247331.27272727274,7013722.636363637,7.510733586293939
435298.1794871795,6901313.692307692,5.342824889939982
540579.8461538461,7125892.076923077,6.75
544346.3333333333,7393067.333333333,4.902593548284577
536645.25,6716272.5,3.8524937833727937
606967.7142857142,6796355.142857143,1.652593548284578
643164.1034482758,6947762.517241379,4.701082818672267
434297.5833333333,6946872.416666666,2.9273254946797174
216313.6,6832395.300000001,3.819462526416788
316714.3125,6829377.1875,2.710543065058368
357104.6,6686053.8,3.656764074267094
229288.04545454547,6733045.7727272725,3.4720560747013662
591030.0,7061281.600000001,6.75
431066.4,7020993.300000001,2.118111363135248
335487.30000000005,7108444.2,2.639625806861689
534047.2857142857,6978418.285714285,2.8838867724036206
440583.5,6773220.0625,7.800099764911784
315171.0625,6777099.4375,2.00296847911686
533665.2857142857,6854607.142857143,6.347406451715423
322833.9,7091076.2,2.4448129034308446
233665.25,7010902.75,2.4537425762080227
282145.2857142857,6930395.857142856,2.3051870965691563
397006.125,6703040.0,3.286480320688198
500580.0,7740040.0,4.75
588741.6666666666,7266566.0,2.750000000000001
432388.0833333333,6922081.583333333,2.680537473583213
381298.4666666667,6704764.666666667,1.670721046029148
506041.75,6715553.625,6.527943925298635
225139.5,6966514.75,4.565292000434272
212291.80000000002,6934439.0,5.097406451715422
440235.8571428571,7094302.428571428,6.5
504383.3333333333,7557861.333333333,6.902593548284578
498462.9285714285,6751603.642857143,3.000000000000001
253213.2,6796167.600000001,1.2894569349416323
442936.3076923077,7376258.846153847,1.308916724884753
397869.875,7285692.25,5.427325494679717
483975.3333333333,6814340.166666666,1.75
452236.0,6703800.0,1.75
439969.1818181818,6978633.0,7.605174148676731
204431.0,6781758.090909091,4.298313793639893
428195.7272727273,7189688.454545455,5.75
427412.5,7362580.375,5.953742576208023
543423.25,6887428.75,3.5200173971048816
292087.375,6702455.0,1.5279439252986344
293928.0,6761586.266666667,2.670299903342711
370460.23529411765,6748516.294117647,3.583691574383254
398605.2,6856620.7,7.781192427412514
484976.5,7456532.75,4.75
400937.4583333333,6714935.166666666,6.414039231624312
634535.6666666666,6828875.333333333,5.75
262248.8888888889,6707348.666666666,1.4812932241190417
589737.1538461539,7195837.384615385,7.173124303514282
544168.625,6908647.5,3.902593548284578
396387.25,6695976.875,1.5551870965691559
342787.27272727276,6827678.181818182,5.527943925298635
470098.3333333333,6734638.333333333,1.902593548284578
445353.2,7133246.2,7.972056074701366
628705.5,7002551.5,3.5652920004342716
276828.06666666665,6746394.133333333,3.8089167248847535
297955.7272727273,7066544.0,5.317084594856151
328651.7894736842,6806775.2105263155,6.77930204792999
601207.0,7296608.0,3.986753754038664
596976.7142857142,7330455.714285714,7.652593548284577
452921.0,6857145.285714285,1.25
593800.6,6784749.7,3.444812903430845
