x,y
422528.8333333333,6749191.666666666
241988.5,6804163.0
237731.0,6998361.0
346217.80000000005,6778106.4
381509.75,6703929.5
353912.3333333333,6687733.166666666
216201.40000000002,6832477.600000001
292488.5,6892691.0
325618.0,6818711.5
271819.9,6785954.100000001
247144.66666666666,6707467.5
345910.5,6717348.0
304732.6666666666,6759421.333333333
382494.5,6675889.555555555
400037.0,6713199.142857143
446144.0,6782617.0
272414.0,6706260.5
265999.5,6956326.0
307066.2222222222,6835550.0
448789.0,6803012.0
296756.4,6845931.0
368646.0,6750443.666666666
420014.8571428571,6744463.285714285
411083.5,6728154.0
322734.0,6736740.0
296357.0,6765814.0
281563.0,6934065.0
330435.8333333333,6789390.833333333
352583.5,6705218.0
290642.6666666666,6703162.0
317239.75,6829289.166666666
395890.0,6690096.0
248341.75,6991727.75
287624.3333333333,6770846.5
377462.5,6729587.25
328512.2,6808617.4
319901.0,6697922.0
220688.25,6828275.125
381605.75,6685861.375
333499.3333333333,6725072.666666666
317521.5,6822974.0
301751.0,6698691.0
259165.0,6971728.0
278246.0,6779627.25
253528.3333333333,6795998.333333333
446781.5,6821091.5
370969.5,6677373.75
393204.77777777775,6681703.0
430597.5,6760160.333333333
233839.2,7000836.600000001
236191.75,6809378.0
439219.0,6770686.0
337676.5,6783614.5
364890.5,6681274.0
379542.0,6719934.833333333
349445.0,6711600.333333333
404181.75,6719516.5
288532.0,6857373.0
362437.6666666666,6764702.666666666
352041.6666666666,6695925.0
327346.0,6812824.5
229063.75,7006275.75
283151.0,6922559.0
417010.0,6738733.0
383490.5,6679972.0
379113.3333333333,6692752.5
448178.0,6809905.0
376151.3333333333,6738003.333333333
299632.0,6838216.0
328427.0,6806605.666666666
229725.6,6817276.9
342225.6666666666,6686734.333333333
266843.0,6706134.0
356029.44444444444,6686655.0
289114.2,6872267.2
321407.0,6817439.833333333
303418.2,6836624.600000001
401187.0,6716034.0
293643.71428571426,6852240.857142856
274911.0,6783315.0
262245.0,6790835.833333333
315513.5,6746456.5
283474.0,6705066.5
376527.0,6676455.0
379642.6666666666,6697252.333333333
256643.5,6709024.0
309695.5,6753429.0
374798.5,6676211.5
380086.54545454547,6689506.909090909
258655.5,6974998.5
357462.0,6770907.333333333
210956.75,6838526.0
284613.3333333333,6773243.166666666
396315.25,6695690.25
359559.5,6768434.0
333197.0,6690183.0
395741.4285714285,6691449.428571428
290105.5,6902600.5
282664.0,6927594.0
278725.0,6939474.0
374501.3333333333,6741823.0
292074.0,6883598.0
427207.60000000003,6756852.2
384053.25,6678472.75
362162.25,6682487.75
436628.0,6765327.0
448610.5,6789466.5
392051.14285714284,6679975.857142856
282950.60000000003,6774515.0
380983.3333333333,6715343.333333333
333432.3333333333,6786678.333333333
353198.3333333333,6699649.333333333
379450.0,6676632.0
232341.0,6813658.0
344321.3333333333,6780484.666666666
225087.5,6823165.0
290985.0,6853782.2
397752.0,6706042.0
371289.2,6747552.600000001
380687.5,6701644.0
398408.6666666666,6710748.0
450249.3333333333,6795307.333333333
330365.0,6794497.0
254557.5,6980282.5
286833.75,6860667.5
293163.0,6767186.666666666
282025.3333333333,6931496.0
314367.3333333333,6831129.0
387888.5,6677406.5
350748.60000000003,6687709.800000001
396883.5,6702391.0
394323.2,6683949.9
270098.0,6787786.2
447275.6666666666,6787706.0
246322.0,6993956.333333333
312130.0,6749818.333333333
449325.3333333333,6806550.666666666
241360.0,6710977.75
243265.0,6707913.333333333
448761.0,6798580.0
327656.0,6817330.5
226452.5,6821402.0
287851.0,6912186.0
348079.2,6714560.2
